gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
MAFK	ID_1795	49	0.00	1.34	2.14	1.99	1.70	0.88	1.32
MED1	ID_1796	44	0.00	0.42	0.15	-0.17	-0.45	-1.04	-0.41
ERBB3	ID_1797	25	0.00	-1.48	1.08	1.25	-1.85	2.26	2.81
STARD3	ID_1798	39	0.00	0.28	0.15	0.06	0.31	0.65	0.68
MFNG	ID_1800	10	0.00	1.15	-0.71	-0.82	-1.15	-2.64	-3.24
VMP1	ID_1801	22	0.00	0.10	-0.12	0.03	0.58	1.66	1.06
UCHL5	ID_1802	11	0.00	-0.74	-1.13	-1.29	-1.11	0.35	0.08
GLRX2	ID_1803	48	0.00	0.70	0.48	0.79	0.35	0.88	0.54
RO60	ID_1804	10	0.00	0.39	-0.14	-0.25	-0.93	-1.19	-0.64
STK4	ID_1805	12	0.00	-0.13	-0.14	-0.41	-1.33	-1.31	-0.51
PMP22	ID_1807	9	0.00	-0.64	0.28	0.81	0.05	0.61	0.56
GDF9	ID_1808	44	0.00	2.06	-0.19	1.99	1.70	-1.17	-0.62
ZCCHC10	ID_1809	20	0.00	-0.08	-1.00	-0.60	-0.78	-0.65	-0.29
PSMB6	ID_1811	16	0.00	-0.13	-0.49	-0.31	-0.01	-0.61	-1.54
SPAG7	ID_1812	5	0.00	-0.48	0.01	-0.77	-1.39	-1.44	-0.83
PFN1	ID_1813	10	0.00	-0.32	-0.56	-0.80	-1.23	-1.30	-1.09
TOMM34	ID_1814	30	0.00	-0.28	0.23	0.17	-0.78	0.23	1.72
YWHAB	ID_1815	39	0.00	0.23	0.68	0.94	1.01	0.97	1.08
KSR1	ID_1816	39	0.00	0.55	0.85	0.64	1.06	1.34	2.66
GPX3	ID_1817	8	0.00	-1.57	-0.49	-0.81	-0.07	-0.57	-0.68
ANXA6	ID_1818	4	0.00	-0.70	-0.37	-0.16	-0.30	0.37	0.45
ZKSCAN6	ID_1819	34	0.00	0.62	0.31	0.86	0.72	0.36	-0.23
KPNA2	ID_1820	10	0.00	-0.55	-2.42	-2.29	-3.10	-3.56	-4.19
SMURF2	ID_1821	44	0.00	0.37	0.14	0.08	-0.25	-0.97	-0.72
CEP95	ID_1822	10	0.00	0.24	-0.06	0.15	-0.83	-2.21	-1.24
VEZF1	ID_1823	10	0.00	0.42	0.34	-0.05	-0.94	-1.85	-1.22
CUEDC1	ID_1824	41	0.00	0.70	1.56	1.04	1.23	-0.42	-0.72
SRSF1	ID_1825	10	0.00	0.03	-0.84	-1.02	-1.70	-2.94	-2.10
ABI3	ID_1826	25	0.00	-0.42	-0.60	-1.18	-1.11	1.63	1.38
SHROOM1	ID_1827	19	0.00	-1.48	0.40	1.25	1.61	-0.91	2.23
KIF3A	ID_1828	49	0.00	1.22	2.11	2.02	1.89	1.40	1.93
SEPTIN8	ID_1829	39	0.00	0.44	0.35	0.80	0.86	3.80	3.98
MTMR4	ID_1830	27	0.00	0.31	0.71	0.39	-0.47	-0.88	0.26
MRM1	ID_1831	18	0.00	-0.16	0.11	0.85	0.90	0.94	0.18
MAPT	ID_1832	49	0.00	3.86	6.11	6.20	6.08	3.74	4.59
KANSL1	ID_1833	38	0.00	0.45	0.61	0.23	0.09	-0.24	0.37
GID4	ID_1834	30	0.00	-0.19	0.12	-0.14	-0.36	0.06	1.00
MYO1B	ID_1835	10	0.00	0.53	-0.21	-0.00	-1.12	-2.13	-1.63
DHX40	ID_1836	10	0.00	0.26	-0.35	-1.12	-1.16	-2.06	-1.12
YPEL2	ID_1837	25	0.00	0.84	0.96	0.96	-0.60	2.43	2.87
AKAP1	ID_1838	49	0.00	-0.01	1.32	1.14	1.17	0.43	0.69
NOL11	ID_1839	10	0.00	-0.11	-0.12	-0.67	-1.46	-2.38	-1.46
DERL2	ID_1840	10	0.00	-0.06	-0.45	-0.35	-0.62	-0.85	-0.51
C1QBP	ID_1841	10	0.00	-0.38	-0.38	-0.46	-0.63	-1.09	-1.07
RPAIN	ID_1842	34	0.00	-0.17	-0.34	-0.05	-0.19	-0.10	-0.55
6330403K07RIK	ID_1843	49	0.00	1.47	1.83	2.01	2.26	1.54	0.88
SLC13A3	ID_1844	49	0.00	1.30	2.98	3.21	3.33	3.22	3.55
KCNAB3	ID_1845	39	0.00	2.65	2.86	2.86	3.47	6.21	6.49
CHD3	ID_1846	49	0.00	1.09	1.87	1.63	0.99	0.83	1.68
KDM6B	ID_1847	44	0.00	0.73	1.44	0.32	-0.29	-2.23	-0.09
CHCT1	ID_1848	26	0.00	0.42	0.40	0.40	1.80	-0.59	-¡Þ
APPBP2	ID_1849	12	0.00	-0.14	-0.16	-0.33	-0.56	-0.56	-0.06
WNT9B	ID_1850	6	0.00	-2.16	0.40	-1.60	0.47	0.73	-¡Þ
ADORA2B	ID_1851	22	0.00	-0.35	-1.02	0.40	0.28	1.93	-0.45
NCOR1	ID_1852	27	0.00	0.62	0.95	0.90	0.22	0.05	1.01
TRPV2	ID_1853	49	0.00	1.56	3.47	3.24	3.90	2.77	3.06
CENPV	ID_1854	47	0.00	1.33	0.50	0.93	0.77	0.21	-0.45
PCGF2	ID_1855	17	0.00	0.70	1.50	0.75	0.21	-2.19	-1.16
CWC25	ID_1856	47	0.00	0.62	0.65	0.40	0.38	-0.00	-0.23
PIP4K2B	ID_1858	49	0.00	1.03	1.84	1.82	1.51	0.54	1.14
TRIM37	ID_1859	39	0.00	0.48	0.85	0.92	0.55	1.36	2.03
YBX2	ID_1860	47	0.00	0.99	0.88	0.58	0.54	-0.53	-1.56
CTDNEP1	ID_1861	47	0.00	0.46	0.29	0.42	0.29	-0.04	-0.32
ELP5	ID_1862	16	0.00	-0.09	0.12	0.00	0.22	0.03	-0.37
